순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,유개승강장,버스안내단말기 설치유무,와이좌표,엑스좌표
946.0,185003481.0,8002279.0,31160,용문역5번출구,3017010600,대전광역시,서구,탄방동,O,O,36.339158,127.392477
958.0,185003281.0,8002338.0,31290,국화아파트,3017011200,대전광역시,서구,둔산동,O,O,36.354167,127.395307
959.0,185003284.0,8002702.0,31300,청솔아파트,3017011200,대전광역시,서구,둔산동,O,O,36.351105,127.397192
960.0,185003286.0,8002703.0,31310,청솔아파트,3017011200,대전광역시,서구,둔산동,O,O,36.351363,127.398303
963.0,185003125.0,8003044.0,31340,KT인재개발원,3017010800,대전광역시,서구,괴정동,O,O,36.33873,127.375439
965.0,185003127.0,8001132.0,31360,괴정네거리,3017010800,대전광역시,서구,괴정동,O,O,36.336153,127.378957
971.0,185003133.0,8002758.0,31420,탄방네거리,3017010800,대전광역시,서구,괴정동,O,O,36.342168,127.38628
974.0,185003136.0,8001587.0,31450,롯데백화점,3017010800,대전광역시,서구,괴정동,O,O,36.340077,127.390742
975.0,185003024.0,8001736.0,31460,변동오거리,3017010900,대전광역시,서구,가장동,O,O,36.329113,127.382086
977.0,185003028.0,8001052.0,31480,가장네거리,3017010900,대전광역시,서구,가장동,O,O,36.330547,127.38509
978.0,185003030.0,8001237.0,31490,래미안아파트1단지,3017010900,대전광역시,서구,가장동,O,O,36.331838,127.385285
980.0,185003032.0,8001238.0,31510,래미안아파트1단지,3017010900,대전광역시,서구,가장동,O,O,36.332398,127.385387
986.0,185003138.0,8001589.0,31570,롯데아파트,3017011000,대전광역시,서구,내동,O,O,36.33768,127.366737
988.0,185003140.0,8002754.0,31590,코오롱아파트,3017011000,대전광역시,서구,내동,O,O,36.33432,127.371082
999.0,185003153.0,8002914.0,31700,한민시장,3017011000,대전광역시,서구,내동,O,O,36.33224,127.383084
1000.0,185003026.0,8002913.0,31710,한민시장,3017010900,대전광역시,서구,가장동,O,O,36.332573,127.383145
1003.0,185003040.0,8001060.0,31740,갈마아파트2단지,3017011100,대전광역시,서구,갈마동,O,O,36.342325,127.367165
1004.0,185003041.0,8001054.0,31750,갈마네거리,3017011100,대전광역시,서구,갈마동,O,O,36.353495,127.367658
1006.0,185003046.0,8001056.0,31770,갈마네거리,3017011100,대전광역시,서구,갈마동,O,O,36.353638,127.368527
1013.0,185003051.0,8002917.0,31840,한밭고.갈마중입구,3017011100,대전광역시,서구,갈마동,X,O,36.34675,127.369264
1016.0,185003054.0,8001952.0,31870,둔산소방서,3017011100,대전광역시,서구,갈마동,O,O,36.346709,127.369545
1026.0,185003068.0,8002757.0,31970,큰마을아파트,3017011100,대전광역시,서구,갈마동,O,O,36.347553,127.37715
1033.0,185003221.0,8002452.0,32060,은하수네거리,3017011200,대전광역시,서구,둔산동,O,O,36.350246,127.377471
1034.0,185003220.0,8006006.0,32070,은하수네거리,3017011200,대전광역시,서구,둔산동,O,O,36.350898,127.37786
1035.0,185003222.0,8002453.0,32080,은하수네거리,3017011200,대전광역시,서구,둔산동,O,O,36.350414,127.378035
1037.0,185003224.0,8001380.0,32100,대전상공회의소,3017011200,대전광역시,서구,둔산동,O,O,36.346273,127.37883
1039.0,185003226.0,8001078.0,32120,갤러리아타임월드,3017011200,대전광역시,서구,둔산동,O,O,36.352716,127.37907
1040.0,185003227.0,8002468.0,32130,이마트,3017011200,대전광역시,서구,둔산동,O,O,36.355155,127.37921
1042.0,185003228.0,8002814.0,32150,파랑새네거리,3017011200,대전광역시,서구,둔산동,O,O,36.353063,127.37952
1043.0,185003229.0,8001567.0,32160,둔산경찰서,3017011200,대전광역시,서구,둔산동,O,O,36.35854,127.379583
1047.0,185003234.0,8002559.0,32210,정부청사역,3017011200,대전광역시,서구,둔산동,O,O,36.357446,127.380664
1052.0,185003239.0,8002558.0,32270,정부청사역,3017011200,대전광역시,서구,둔산동,O,O,36.357859,127.382087
1060.0,185003250.0,8001378.0,32350,대전광역시청,3017011200,대전광역시,서구,둔산동,O,O,36.351114,127.384858
1063.0,185003255.0,8002969.0,32390,시청역,3017011200,대전광역시,서구,둔산동,O,O,36.351405,127.38816
1065.0,185003257.0,8002088.0,32410,시청역,3017011200,대전광역시,서구,둔산동,O,O,36.351145,127.38868
1087.0,185003278.0,8002935.0,32620,한밭초등학교,3017011200,대전광역시,서구,둔산동,O,O,36.354671,127.39488
1090.0,185003283.0,8001005.0,32650,가람아파트,3017011200,대전광역시,서구,둔산동,O,O,36.357366,127.395947
1091.0,185003285.0,8002075.0,32660,수정타운아파트,3017011200,대전광역시,서구,둔산동,O,O,36.357667,127.397475
1098.0,185003402.0,8001425.0,32750,대전일보사,3017011300,대전광역시,서구,월평동,O,O,36.353623,127.360673
1099.0,185003404.0,8001426.0,32760,대전일보사,3017011300,대전광역시,서구,월평동,O,O,36.354169,127.361742
1105.0,185003412.0,8002381.0,32820,월평주공아파트,3017011300,대전광역시,서구,월평동,O,O,36.362118,127.369372
1107.0,185003414.0,8003008.0,32840,황실타운아파트,3017011300,대전광역시,서구,월평동,O,O,36.35995,127.370865
1119.0,185003428.0,8001568.0,32970,통계센터,3017011300,대전광역시,서구,월평동,O,O,36.359033,127.37924
1120.0,185003429.0,8001989.0,32980,선사유적지,3017011300,대전광역시,서구,월평동,O,O,36.361703,127.379271
1126.0,185003005.0,8001028.0,33040,가수원육교.가수원시장,3017011400,대전광역시,서구,가수원동,O,o,36.304692,127.350839
1129.0,185003008.0,8001029.0,33070,가수원육교.가수원시장,3017011400,대전광역시,서구,가수원동,O,X,36.30447,127.351352
1171.0,185003099.0,8001083.0,33560,건양대병원네거리,3017011600,대전광역시,서구,관저동,O,O,36.302511,127.33986
1178.0,185003106.0,8001081.0,33630,건양대병원네거리,3017011600,대전광역시,서구,관저동,O,O,36.30292,127.34336
1284.0,185003295.0,8001922.0,34710,서구보건소,3017012800,대전광역시,서구,만년동,O,O,36.368269,127.379348
1285.0,185003296.0,8001923.0,34720,서구보건소,3017012800,대전광역시,서구,만년동,O,O,36.368565,127.379697
1288.0,185003552.0,8007326.0,34750,서부소방서,3017010400,대전광역시,서구,정림동,O,X,36.309499,127.371719
1289.0,185003263.0,8005918.0,34760,목련아파트,3017011200,대전광역시,서구,둔산동,O,O,36.350473,127.390057
1732.0,186004227.0,8002187.0,43940,반석마을입구,3020013900,대전광역시,유성구,반석동,O,O,36.395038,127.312809
1990.0,187001212.0,8002235.0,50040,오정농수산물시장,3023010100,대전광역시,대덕구,오정동,O,O,36.357296,127.407852
1992.0,187001218.0,8002100.0,50100,신동아아파트,3023010100,대전광역시,대덕구,오정동,O,O,36.358517,127.412411
2048.0,187001283.0,8002464.0,50720,읍내동현대아파트,3023010300,대전광역시,대덕구,읍내동,O,O,36.378349,127.426674
2086.0,187001067.0,8001430.0,51140,대전지방국세청,3023010800,대전광역시,대덕구,법동,O,O,36.372147,127.42838
2241.0,187001184.0,8002133.0,52790,신탄진역,3023012600,대전광역시,대덕구,신탄진동,O,O,36.449864,127.428959
2242.0,187001185.0,8002134.0,52810,신탄진역,3023012600,대전광역시,대덕구,신탄진동,O,O,36.449253,127.429258
2339.0,186004918.0,8005967.0,82170,구암역,3020011200,대전광역시,유성구,구암동,X,X,36.356325,127.33241
